A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
79.3311,56.4396,61.3042,18.853,16.8015,10.3969,9.3398,12.1593,21.4801,4.9986,18.3601,77.6382,21.0194,44.6947,7.8177,8.1547,8.7505,10.0858
60.0993,71.7452,72.9812,21.5463,17.6016,8.169,6.2265,9.7275,20.2643,4.9986,18.3601,75.6475,28.7634,42.6159,9.3813,8.1547,9.6256,10.0858
39.2649,39.2207,72.0081,11.6709,12.8012,8.169,7.7831,10.2138,21.4801,5.4151,18.9932,79.6289,27.6571,41.5765,8.5995,8.9701,9.6256,10.0858
171.4834,188.4507,130.3931,44.8881,67.2062,41.5877,7.7831,14.5912,49.0396,4.9986,18.9932,78.6335,27.6571,38.4582,9.3813,8.1547,9.6256,8.9651
100.1656,92.7905,124.5546,22.4441,54.405,46.7862,36.3213,20.4277,20.6696,9.9971,19.6263,74.6521,32.0822,59.2465,7.8177,8.9701,12.2507,12.327
99.3642,88.9641,49.6272,28.7284,67.2062,28.9629,24.906,24.805,25.1277,6.6648,19.6263,76.6428,57.5268,40.5371,8.5995,8.1547,13.1258,10.0858
274.8543,111.9225,72.0081,62.8434,44.004,29.7055,12.453,16.5367,26.3436,7.0813,27.2236,101.5268,60.8456,51.9706,10.1631,9.7856,13.1258,10.0858
254.8212,113.8357,94.389,26.0351,33.6031,27.4776,10.8964,15.0776,32.0176,10.8302,21.5256,86.5964,25.4445,44.6947,8.5995,8.9701,9.6256,10.0858
201.9338,83.2244,55.4657,21.5463,20.0018,18.5659,7.7831,11.673,21.8854,6.2482,18.3601,78.6335,36.5074,60.2859,8.5995,8.9701,10.5006,12.327
107.3775,117.6621,60.3311,20.6485,28.8026,8.169,7.2643,11.1866,33.2334,4.582,18.9932,79.6289,19.9131,36.3794,7.8177,7.3392,8.7505,8.9651
293.2848,226.7148,189.7511,60.1501,54.405,31.9334,8.302,12.6457,27.5594,4.9986,19.6263,76.6428,29.8697,40.5371,10.1631,8.9701,9.6256,10.0858
148.245,132.0112,211.1589,36.8083,38.4035,24.507,7.2643,11.673,28.37,4.9986,25.3243,101.5268,23.232,49.8918,9.3813,8.9701,9.6256,10.0858
74.5232,169.3187,130.3931,17.9553,66.4061,58.6684,7.7831,11.673,19.859,7.4978,23.4249,81.6196,39.8262,56.1282,9.3813,9.7856,11.3757,11.2064
125.0066,98.5301,107.0391,31.4217,93.6086,51.242,28.0193,29.1824,25.9383,12.0799,22.1587,75.6475,55.3142,53.01,10.1631,9.7856,14.0008,12.327
303.702,106.1829,127.4738,23.3418,40.8037,26.7349,7.2643,10.2138,19.859,5.4151,18.3601,74.6521,35.4011,54.0494,9.3813,9.7856,11.3757,10.0858
133.8212,96.6169,99.2544,34.115,45.6042,27.4776,31.1325,35.5053,36.4757,9.164,25.3243,84.6057,63.0582,43.6553,8.5995,8.9701,14.0008,10.0858
250.0132,127.2282,78.8197,38.6038,47.2043,20.0512,47.7366,45.2327,40.1233,16.6619,30.3891,83.6103,39.8262,60.2859,9.3813,10.6011,14.0008,12.327
73.7219,61.2226,52.5465,14.3642,24.0022,14.8527,10.3775,11.673,19.0484,7.4978,29.1229,77.6382,27.6571,43.6553,7.8177,8.1547,11.3757,11.2064
32.053,30.6113,35.031,9.8754,13.6012,11.8822,7.7831,10.2138,17.4273,4.9986,17.727,71.666,18.8068,43.6553,7.8177,8.1547,9.6256,10.0858
81.7351,81.3112,140.1239,16.1597,24.0022,51.9846,19.7173,15.0776,19.859,12.4964,18.3601,76.6428,24.3382,90.4288,8.5995,11.4165,14.0008,16.8096
145.0397,105.2263,86.6044,14.3642,30.4028,28.2202,14.0096,11.1866,18.2379,8.3309,17.727,70.6707,17.7005,36.3794,7.036,7.3392,8.7505,8.9651
109.7815,86.0942,47.681,30.5239,34.4031,19.3086,11.9341,19.4549,25.9383,5.4151,20.8925,82.615,43.1451,36.3794,9.3813,8.1547,10.5006,8.9651
70.5166,69.832,57.4119,23.3418,26.4024,14.8527,10.3775,15.564,27.1541,8.3309,19.6263,76.6428,56.4205,61.3253,9.3813,8.9701,12.2507,11.2064
123.404,93.7471,59.358,33.2172,84.8078,56.4404,18.6795,21.8868,27.1541,7.9144,22.1587,87.5918,50.8891,48.8523,9.3813,8.9701,12.2507,11.2064
375.8212,143.4904,156.6663,21.5463,30.4028,31.9334,7.7831,9.7275,21.8854,5.8317,32.9215,91.5732,43.1451,50.9312,9.3813,8.9701,11.3757,10.0858
112.1854,141.5772,157.6394,23.3418,124.8114,113.6235,48.2554,37.4508,23.9119,11.6633,20.2594,77.6382,56.4205,71.7194,9.3813,10.6011,14.0008,17.9302
95.3576,163.5791,270.517,37.706,48.0044,35.6466,8.302,12.1593,25.533,6.2482,31.0222,113.4712,26.5508,50.9312,9.3813,9.7856,10.5006,11.2064
84.9404,54.5264,49.6272,18.853,19.2018,10.3969,10.3775,12.1593,25.533,8.7475,25.3243,83.6103,39.8262,43.6553,8.5995,8.1547,10.5006,10.0858
