A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
24.8411,30.6113,38.9233,10.7732,19.2018,22.2791,9.3398,11.1866,18.2379,6.6648,18.3601,70.6707,17.7005,53.0100,7.0360,8.1547,10.5006,10.0858
105.7748,93.7471,112.8776,26.0351,62.4057,49.0141,15.0474,14.5912,22.6960,6.2482,20.8925,82.6150,22.1257,44.6947,8.5995,8.1547,9.6256,11.2064
185.1060,110.9659,163.4779,122.9935,36.0033,14.1101,12.4530,17.5094,45.3920,4.9986,19.6263,80.6243,92.9278,36.3794,12.5084,8.1547,9.6256,8.9651
36.0596,30.6113,21.4078,14.3642,18.4017,11.1396,14.0096,12.6457,19.0484,7.0813,17.7270,76.6428,30.9759,37.4188,7.8177,7.3392,10.5006,10.0858
331.7484,239.1507,213.1051,59.2524,118.4108,74.2637,23.3494,22.3732,30.8017,9.1640,22.1587,74.6521,48.6765,66.5223,10.1631,10.6011,14.0008,12.3270
403.8676,184.6243,60.3311,92.4696,52.0048,18.5659,12.9719,28.2097,47.0132,5.8317,22.1587,102.5222,27.6571,36.3794,8.5995,8.1547,8.7505,10.0858
43.2715,85.1376,173.2087,23.3418,26.4024,27.4776,14.0096,28.6960,41.7444,4.9986,18.9932,81.6196,27.6571,39.4976,8.5995,8.9701,10.5006,11.2064
92.9536,74.6150,33.0848,19.7508,18.4017,10.3969,7.2643,10.7002,22.2907,4.5820,18.3601,85.6011,19.9131,36.3794,7.8177,7.3392,8.7505,8.9651
131.4172,167.4055,118.7161,24.2396,86.4079,61.6389,8.3020,12.1593,21.0749,8.3309,24.0580,83.6103,29.8697,55.0888,9.3813,9.7856,12.2507,11.2064
96.9603,60.2660,79.7928,22.4441,16.0015,12.6248,7.7831,10.7002,18.2379,6.2482,19.6263,80.6243,15.4880,36.3794,7.8177,7.3392,8.7505,8.9651
151.4503,64.0924,29.1925,40.3993,18.4017,10.3969,7.2643,11.1866,27.1541,4.5820,17.7270,85.6011,25.4445,36.3794,10.1631,8.1547,8.7505,10.0858
560.1258,526.1315,245.2168,66.4345,146.4134,48.2714,94.9543,139.1028,142.6606,9.5806,24.6912,80.6243,99.5655,38.4582,13.2902,11.4165,15.7509,10.0858
90.5497,166.4489,224.7821,57.4568,44.0040,29.7055,14.5285,16.0503,22.6960,6.2482,20.8925,81.6196,51.9953,41.5765,10.9448,8.9701,11.3757,10.0858
122.6026,57.3962,52.5465,30.5239,31.2029,17.0807,9.8586,12.6457,21.8854,6.2482,21.5256,84.6057,37.6136,48.8523,9.3813,8.9701,11.3757,10.0858
46.4768,40.1773,45.7349,60.1501,31.2029,11.8822,8.3020,23.8323,51.4713,4.5820,20.2594,121.4341,58.6330,41.5765,9.3813,8.9701,11.3757,10.0858
52.8874,66.9622,359.0675,149.0287,46.4043,13.3675,37.8779,79.7653,100.1056,13.3295,26.5905,107.4990,33.1885,40.5371,8.5995,8.9701,10.5006,10.0858
108.9801,93.7471,29.1925,33.2172,35.2032,8.1690,8.3020,19.9413,29.5859,4.5820,19.6263,81.6196,22.1257,36.3794,7.8177,7.3392,8.7505,8.9651
