A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
581.7616,493.607,606.2305,168.7794,181.6166,113.6235,80.9446,69.5514,76.1937,19.5777,37.3533,119.4433,130.5415,103.9412,14.8537,15.4939,24.5014,19.0509
540.0927,422.8184,391.1792,164.2906,192.0176,125.5057,78.3502,67.6059,74.5726,21.6605,37.3533,115.4619,137.1792,125.7688,15.6355,16.3093,27.1266,21.2922
576.1523,448.6467,397.9908,169.6772,140.8129,80.9475,59.1518,61.2831,81.4625,13.7461,29.756,115.4619,99.5655,85.2318,13.2902,13.0475,18.3761,15.689
427.9073,352.9864,292.8979,146.3354,139.2127,69.8079,57.5952,57.8784,64.8457,12.4964,31.0222,112.4758,108.4158,55.0888,13.2902,11.4165,16.626,12.327
657.8874,565.3522,600.392,191.2235,217.6199,140.3585,85.6145,75.3879,82.273,18.7446,37.9864,131.3877,152.6672,65.4829,17.199,14.6784,21.8763,14.5683
667.5033,574.9182,527.4108,183.1437,234.4215,161.895,90.2844,80.2516,81.0572,22.077,41.1519,135.3691,163.73,96.6653,18.7626,17.1248,25.3765,17.9302
625.8344,506.9994,422.3179,197.5079,157.6144,75.749,59.6707,66.6332,87.1365,11.6633,32.2884,125.4155,118.3724,56.1282,14.8537,12.232,17.501,12.327
712.3775,598.8333,574.1188,193.019,226.4207,149.2701,79.9069,74.9015,84.7047,20.8274,39.8857,133.3784,153.7734,89.3894,17.199,16.3093,24.5014,16.8096
821.3576,689.7106,608.1766,235.2139,255.2234,163.3802,97.5486,95.3292,98.0792,21.2439,40.5188,137.3598,191.3871,110.1776,20.3261,18.7557,28.0016,19.0509
689.139,601.7031,616.9344,195.7123,219.2201,135.16,77.8314,74.9015,84.7047,17.9115,37.3533,129.397,151.5609,99.7835,17.199,16.3093,24.5014,17.9302
771.6755,646.6634,698.6734,188.5302,248.0227,171.5492,81.4635,72.956,83.8942,20.8274,42.4181,129.397,147.1357,113.2959,16.4173,17.1248,26.2515,19.0509
693.1457,582.5711,551.7379,200.2012,199.2182,109.9103,71.086,73.4424,88.3523,15.4122,37.3533,133.3784,131.6478,81.0741,14.8537,13.8629,21.8763,14.5683
459.1589,388.3807,461.2412,168.7794,126.4116,77.9769,58.633,59.3376,75.3832,12.913,29.1229,121.4341,107.3095,71.7194,14.0719,13.0475,17.501,14.5683
560.9271,438.124,333.7674,166.0861,166.4152,67.58,47.2177,58.8512,75.7884,10.4137,29.756,115.4619,107.3095,48.8523,13.2902,10.6011,15.7509,11.2064
745.2318,618.9219,647.1,191.2235,227.2208,148.5275,87.69,78.3061,87.1365,19.9943,39.2526,129.397,153.7734,111.2171,17.199,17.1248,27.1266,19.0509
773.2781,656.2294,650.9923,215.4631,232.0212,149.2701,90.2844,87.5472,92.8105,19.5777,40.5188,146.3181,167.0489,98.7441,18.7626,17.9403,25.3765,17.9302
580.9603,486.9108,529.357,150.8242,186.4171,123.2778,76.2747,64.6877,71.3303,18.7446,34.1877,116.4573,132.7541,71.7194,14.8537,14.6784,21.0012,14.5683
873.4437,745.1935,722.0274,250.4759,259.2237,155.2112,87.69,87.5472,101.7267,19.9943,43.6843,152.2903,172.5803,93.5471,19.5444,17.1248,25.3765,16.8096
551.3112,459.1693,385.3407,189.428,144.0132,71.2932,60.1896,64.6877,83.0836,11.6633,30.3891,122.4294,115.0535,58.2071,14.0719,11.4165,17.501,12.327
726.8013,615.0955,571.1995,212.7698,228.8209,138.8732,71.6049,75.3879,88.7576,19.1612,39.8857,145.3227,159.3049,99.7835,17.9808,17.1248,25.3765,19.0509
652.2781,557.6994,601.3651,176.8593,216.0198,152.9833,86.1334,72.956,80.6519,22.077,37.3533,123.4248,149.3483,123.69,16.4173,17.9403,27.1266,20.1715
734.8146,627.5314,552.7109,218.1564,196.818,103.2266,68.4916,74.9015,91.1893,14.1626,36.0871,148.3088,132.7541,72.7588,16.4173,14.6784,20.1262,14.5683
650.6755,568.222,609.1497,171.4727,210.4193,129.2189,74.7181,70.0378,76.599,17.495,38.6195,128.4016,115.0535,53.01,14.8537,13.0475,16.626,11.2064
690.7417,495.5202,435.9411,214.5653,188.8173,114.3662,84.0579,87.5472,93.2157,19.1612,37.9864,138.3552,151.5609,89.3894,17.199,15.4939,22.7513,16.8096
514.4503,432.3844,492.3798,131.0734,168.0154,130.7042,75.7559,61.7694,64.8457,19.5777,32.2884,111.4805,138.2855,69.6406,15.6355,14.6784,20.1262,13.4477
695.5497,589.2673,451.5104,231.6229,184.0168,76.4917,64.3406,75.8743,97.6739,12.4964,35.454,139.3506,132.7541,48.8523,15.6355,11.4165,17.501,11.2064
754.0463,620.8352,686.9963,193.9168,228.8209,173.0345,95.992,80.738,87.947,24.9928,39.8857,142.3367,164.8363,148.6359,18.7626,20.3867,29.7517,24.6541
715.5828,601.7031,643.2077,188.5302,228.0209,153.7259,89.2466,76.847,85.9206,21.6605,39.8857,128.4016,159.3049,122.6506,17.199,17.9403,28.0016,20.1715
818.1523,676.3181,741.489,201.9967,227.2208,193.0857,98.0675,83.6562,85.9206,23.7432,43.0512,145.3227,158.1986,108.0988,19.5444,19.5712,24.5014,19.0509
582.5629,445.7769,371.7176,201.9967,158.4145,80.9475,60.1896,65.6604,85.5153,12.4964,35.454,146.3181,113.9472,57.1676,14.8537,12.232,17.501,12.327
689.139,595.0069,575.0919,192.1213,213.6196,136.6453,78.8691,74.4151,84.2994,19.1612,38.6195,133.3784,144.9232,91.4682,17.199,16.3093,23.6264,16.8096
759.6557,645.7068,677.2655,204.69,241.6221,178.233,88.7277,82.1971,89.5682,23.3266,40.5188,143.332,177.0054,112.2565,19.5444,19.5712,28.0016,20.1715
724.3973,605.5295,559.5225,193.019,234.4215,144.0717,80.9446,74.9015,87.5417,19.5777,39.8857,130.3923,155.986,102.9018,16.4173,16.3093,26.2515,17.9302
738.8212,503.173,398.9639,199.3034,220.0201,143.329,95.4731,83.6562,86.7312,25.4094,42.4181,143.332,170.3677,138.2417,19.5444,20.3867,29.7517,25.7747
393.4503,351.0732,416.4794,139.1533,116.0106,66.0947,51.3687,50.0965,63.6299,11.6633,27.8567,108.4944,87.3964,57.1676,11.7266,11.4165,16.626,12.327
800.5231,807.3727,860.2051,249.5781,332.8305,222.0486,89.7655,86.5745,92.4052,24.1597,50.0154,161.2485,238.9573,115.3747,25.0168,20.3867,29.7517,17.9302
666.702,535.6975,409.6678,226.2363,206.4189,108.4251,68.4916,76.3606,96.0527,15.4122,36.7202,129.397,148.242,94.5865,15.6355,14.6784,22.7513,16.8096
684.3311,570.1352,597.4728,166.0861,197.6181,120.3073,79.388,69.5514,75.3832,19.1612,36.0871,124.4202,123.9038,54.0494,14.8537,13.0475,17.501,12.327
709.9735,597.8767,649.0462,193.019,212.0194,137.3879,84.0579,76.3606,84.2994,19.9943,38.6195,140.3459,151.5609,85.2318,17.199,16.3093,23.6264,16.8096
585.7682,489.7806,520.5993,166.0861,178.4163,114.3662,75.7559,67.1195,75.3832,17.495,34.8209,126.4109,129.4352,73.7982,14.8537,14.6784,21.0012,14.5683
508.841,412.2958,411.614,196.6101,134.4123,80.9475,54.4819,58.3648,85.11,12.913,30.3891,131.3877,105.097,76.9165,14.0719,13.0475,18.3761,15.689
838.1854,658.1427,752.1929,191.2235,232.0212,160.4097,87.1711,77.3334,87.947,24.1597,41.785,141.3413,149.3483,70.68,17.9808,16.3093,21.0012,13.4477
668.3046,551.0032,542.007,172.3705,200.8184,119.5646,79.9069,73.4424,78.6254,18.3281,36.0871,125.4155,117.2661,48.8523,14.8537,12.232,16.626,11.2064
711.5762,620.8352,659.7501,201.9967,222.4204,161.1523,94.4354,84.629,88.7576,25.4094,44.3175,145.3227,161.5174,110.1776,18.7626,19.5712,27.1266,21.2922
576.1523,516.5654,471.9451,159.8018,159.2146,89.1165,49.2932,53.0147,66.8722,14.1626,32.9215,131.3877,91.8216,56.1282,13.2902,12.232,16.626,13.4477
665.9006,599.7899,541.0339,179.5526,180.8166,99.5134,35.2835,50.5828,70.5197,12.0799,32.9215,130.3923,94.0341,55.0888,14.0719,13.0475,14.8759,11.2064
556.1192,467.7787,373.6638,175.9615,123.2113,49.7567,30.0948,46.6919,75.3832,8.3309,29.756,125.4155,80.7587,43.6553,12.5084,10.6011,13.1258,10.0858
524.8676,401.7731,329.875,135.5622,108.0099,51.242,26.9815,40.369,60.3876,8.3309,28.4898,118.448,61.9519,41.5765,11.7266,9.7856,11.3757,10.0858
445.5364,374.0317,313.3326,152.6197,96.0088,41.5877,21.7928,36.478,66.8722,7.4978,25.3243,114.4665,69.6959,40.5371,12.5084,9.7856,11.3757,10.0858
573.7484,472.5617,324.0365,146.3354,132.8122,60.1536,24.3872,44.26,65.251,8.3309,29.756,131.3877,73.0147,40.5371,12.5084,10.6011,12.2507,10.0858
648.2715,584.4843,496.2722,195.7123,188.0172,92.087,41.5101,57.8784,79.436,11.6633,33.5546,122.4294,122.7975,61.3253,14.8537,13.0475,18.3761,12.327
496.0199,388.3807,272.4631,134.6645,105.6097,45.3009,22.3117,35.5053,64.0352,7.4978,24.058,99.5361,87.3964,46.7735,13.2902,10.6011,13.1258,10.0858
473.5828,345.3336,270.517,213.6676,125.6115,54.9552,45.6611,60.7967,94.8369,9.9971,28.4898,115.4619,126.1164,49.8918,13.2902,10.6011,15.7509,11.2064
621.8278,567.2654,471.9451,260.3513,210.4193,92.8297,81.4635,98.7338,116.7223,13.3295,32.9215,122.4294,184.7494,61.3253,17.199,13.8629,21.0012,12.327
509.6424,407.5128,337.6597,154.4152,123.2113,54.9552,28.0193,41.3417,64.4404,8.7475,28.4898,115.4619,86.2901,49.8918,12.5084,10.6011,14.0008,10.0858
560.9271,394.1203,268.5708,135.5622,98.409,39.3598,30.0948,45.7191,70.5197,7.9144,27.2236,123.4248,55.3142,38.4582,10.9448,8.9701,10.5006,10.0858
701.1589,611.2691,495.2991,209.1788,188.8173,92.087,47.2177,61.2831,81.0572,12.0799,37.3533,159.2578,115.0535,51.9706,15.6355,13.0475,16.626,11.2064
689.9404,456.2995,280.2478,149.0287,131.212,54.2125,44.1044,57.3921,79.0307,10.8302,29.756,120.4387,61.9519,38.4582,10.9448,8.9701,10.5006,8.9651
718.7881,632.3144,541.0339,187.6325,221.6203,129.2189,44.1044,53.5011,70.925,13.3295,31.0222,126.4109,140.498,85.2318,17.199,15.4939,21.0012,15.689
491.2119,424.7316,434.968,132.8689,161.6148,101.7413,72.6426,63.2286,62.0087,17.495,31.6553,111.4805,106.2033,51.9706,13.2902,12.232,15.7509,12.327
600.9934,301.3298,152.774,114.0159,71.2065,19.3086,22.3117,40.8554,71.3303,5.8317,23.4249,111.4805,30.9759,38.4582,9.3813,8.1547,9.6256,10.0858
709.9735,627.5314,507.9492,198.4056,219.2201,112.8809,70.5671,73.9288,86.7312,14.1626,31.6553,114.4665,160.4111,80.0347,16.4173,14.6784,22.7513,14.5683
528.8742,424.7316,325.9827,151.722,149.6137,68.3226,58.1141,65.1741,74.1673,12.0799,29.1229,109.4897,89.609,40.5371,11.7266,9.7856,13.1258,10.0858
733.2119,611.2691,532.2763,219.9519,207.219,115.8514,61.2273,71.4969,89.5682,15.4122,38.6195,138.3552,143.8169,78.9953,16.4173,14.6784,21.8763,14.5683
720.3907,603.6163,513.7877,227.134,197.6181,100.2561,56.0386,70.0378,91.9999,13.3295,37.3533,144.3274,140.498,60.2859,16.4173,13.8629,18.3761,12.327
568.139,324.2883,191.6973,96.0606,80.0073,32.676,25.9438,38.9099,59.1717,7.4978,24.058,113.4712,25.4445,38.4582,8.5995,8.1547,9.6256,10.0858
536.8874,317.5921,201.4281,99.6517,74.4068,25.9923,21.2739,36.478,62.8193,5.8317,22.7918,101.5268,30.9759,38.4582,8.5995,8.1547,9.6256,8.9651
739.6225,612.2257,655.8577,182.2459,238.4218,182.6888,60.7085,59.8239,75.7884,25.4094,39.2526,142.3367,152.6672,67.5618,17.9808,15.4939,20.1262,13.4477
592.1788,379.7713,259.8131,120.3003,95.2087,38.6171,23.3494,35.9916,60.3876,7.4978,25.3243,117.4526,46.4639,38.4582,10.1631,8.9701,9.6256,10.0858
681.1258,496.4768,460.2681,166.0861,140.8129,77.2343,43.0667,58.8512,77.4096,10.4137,29.756,133.3784,76.3336,41.5765,13.2902,10.6011,12.2507,10.0858
743.6292,700.2332,578.9842,198.4056,246.4226,138.8732,48.2554,62.2558,83.8942,14.5791,33.5546,130.3923,169.2614,80.0347,17.9808,15.4939,22.7513,14.5683
815.7484,678.2313,541.0339,224.4407,243.2223,126.991,38.3968,63.7149,85.11,12.4964,32.2884,133.3784,151.5609,69.6406,17.9808,15.4939,19.2511,13.4477
656.2847,582.5711,507.9492,193.9168,200.0183,101.7413,63.3028,71.9833,83.4889,13.7461,35.454,132.383,115.0535,49.8918,14.8537,12.232,15.7509,10.0858
721.192,639.9672,687.9694,192.1213,243.2223,178.233,79.9069,73.4424,81.0572,22.077,40.5188,134.3738,159.3049,106.02,18.7626,18.7557,26.2515,17.9302
669.106,522.3051,391.1792,206.4855,140.0128,58.6684,42.5478,57.3921,90.784,9.5806,29.756,130.3923,82.9713,41.5765,13.2902,9.7856,12.2507,10.0858
600.9934,436.2108,332.7943,145.4376,124.8114,56.4404,42.0289,51.5556,66.4669,9.5806,28.4898,114.4665,73.0147,39.4976,11.7266,8.9701,11.3757,10.0858
700.3576,446.7335,205.3204,152.6197,109.61,28.9629,24.3872,52.042,92.4052,6.6648,26.5905,120.4387,49.7828,38.4582,10.9448,8.1547,9.6256,8.9651
790.106,619.8786,603.3113,170.575,236.8217,195.3136,76.2747,64.2013,74.1673,23.3266,39.8857,125.4155,133.8603,114.3353,16.4173,17.9403,25.3765,17.9302
685.1325,568.222,579.9573,183.1437,243.2223,170.8066,53.9631,58.8512,74.5726,19.5777,35.454,126.4109,159.3049,107.0594,17.9808,17.9403,27.1266,17.9302
597.7881,481.1712,353.229,164.2906,142.413,59.411,47.7366,58.3648,71.7356,10.4137,31.0222,124.4202,74.121,39.4976,11.7266,8.9701,11.3757,8.9651
549.7086,352.9864,263.7054,108.6293,120.011,66.0947,48.2554,51.0692,69.7092,13.7461,29.1229,109.4897,100.6718,48.8523,11.7266,10.6011,16.626,11.2064
591.3775,470.6485,316.2519,203.7922,180.8166,63.8668,48.7743,71.0105,94.8369,9.9971,32.2884,125.4155,88.5027,39.4976,12.5084,9.7856,13.1258,10.0858
722.7947,593.0937,499.1914,217.2586,223.2204,123.2778,91.3221,87.5472,94.0263,17.9115,39.2526,134.3738,168.1551,73.7982,17.199,14.6784,23.6264,14.5683
862.2252,619.8786,394.0985,201.9967,181.6166,77.9769,52.4064,72.4697,98.4845,11.2468,37.3533,154.281,86.2901,38.4582,13.2902,9.7856,12.2507,10.0858
713.1788,421.8618,215.0513,166.9839,104.8096,28.2202,29.5759,62.7422,107.806,6.6648,25.9574,117.4526,48.6765,38.4582,10.1631,8.1547,9.6256,8.9651
782.0927,520.3919,451.5104,177.7571,178.4163,102.484,77.3125,73.9288,91.1893,19.9943,36.0871,130.3923,125.0101,72.7588,14.8537,13.8629,21.8763,15.689
721.9934,381.6845,192.6704,165.1884,89.6082,25.2497,26.4627,52.5283,93.2157,6.6648,25.3243,128.4016,47.5702,38.4582,10.9448,8.9701,9.6256,10.0858
781.2914,621.7918,663.6424,190.3258,268.0245,207.9385,120.3792,96.7883,93.621,32.0741,41.1519,132.383,205.7688,125.7688,20.3261,21.2021,32.3769,22.4128
564.9338,388.3807,308.4672,94.2651,108.8100,57.9257,29.0570,39.3963,58.7664,8.3309,25.9574,110.4851,34.2948,38.4582,9.3813,8.1547,9.6256,8.9651
658.6887,440.9938,276.3555,200.2012,119.2109,38.6171,52.4064,70.0378,96.8633,9.1640,30.3891,136.3645,84.0776,39.4976,11.7266,8.9701,12.2507,10.0858
592.9801,420.9052,303.6018,187.6325,117.6108,43.0730,48.2554,63.2286,88.3523,9.1640,29.1229,127.4062,90.7153,42.6159,12.5084,9.7856,13.1258,10.0858
731.6093,606.4861,602.3382,200.2012,240.0220,164.8655,87.6900,79.2789,90.3787,22.4935,41.7850,143.3320,184.7494,89.3894,18.7626,17.1248,26.2515,15.6890
633.8477,502.2164,464.1604,185.8369,221.6203,132.1894,99.1053,86.5745,90.7840,20.4108,40.5188,136.3645,172.5803,60.2859,17.1990,13.8629,21.8763,12.3270
596.9868,439.0806,325.0096,163.3929,131.2120,55.6978,58.1141,65.6604,80.6519,11.2468,29.7560,120.4387,86.2901,40.5371,11.7266,9.7856,13.1258,10.0858
639.4570,498.3900,491.4067,155.3130,169.6155,101.7413,52.4064,63.2286,80.2466,12.4964,32.2884,123.4248,89.6090,45.7341,13.2902,11.4165,13.1258,10.0858
681.9271,560.5692,506.0030,203.7922,160.0146,69.8079,62.2651,78.7925,95.6475,11.2468,32.2884,133.3784,106.2033,43.6553,14.0719,11.4165,14.0008,10.0858
665.0993,525.1749,493.3529,191.2235,207.2190,132.9321,87.1711,77.3334,89.1629,21.2439,38.6195,145.3227,184.7494,95.6259,18.7626,17.9403,27.1266,17.9302
697.1523,499.3466,334.7405,212.7698,130.4119,45.3009,50.8498,69.0650,98.0792,9.1640,31.0222,141.3413,87.3964,39.4976,12.5084,9.7856,12.2507,10.0858
725.1987,592.1371,440.8065,219.9519,179.2164,74.2637,57.0763,77.3334,99.2950,10.8302,34.8209,138.3552,106.2033,40.5371,14.0719,10.6011,13.1258,8.9651
649.0728,506.9994,359.0675,202.8944,156.0143,66.0947,76.2747,86.0881,94.0263,12.9130,32.9215,139.3506,119.4786,41.5765,14.0719,10.6011,14.8759,10.0858
798.9205,629.4446,465.1335,207.3833,214.4196,96.5429,72.1237,77.8198,91.9999,15.8288,39.8857,147.3135,106.2033,39.4976,14.0719,9.7856,13.1258,8.9651
619.4238,471.6051,418.4255,158.9040,168.8155,112.1382,67.4538,66.6332,74.5726,14.9957,32.2884,126.4109,112.8409,54.0494,14.8537,13.0475,15.7509,11.2064
692.3444,578.7446,625.6921,207.3833,187.2171,106.9398,86.1334,83.1699,95.2422,15.8288,36.0871,133.3784,142.7106,73.7982,15.6355,14.6784,21.8763,14.5683
675.5166,561.5258,603.3113,184.9392,195.2179,137.3879,86.1334,77.3334,83.4889,19.5777,36.0871,135.3691,148.2420,110.1776,17.1990,17.1248,24.5014,19.0509
680.3245,550.0466,594.5535,177.7571,204.0187,138.1305,89.7655,76.8470,87.5417,20.8274,37.3533,127.4062,162.6237,137.2023,17.1990,18.7557,29.7517,22.4128
725.1987,637.0974,664.6155,202.8944,192.8177,105.4545,58.1141,62.2558,78.2202,12.9130,34.8209,137.3598,117.2661,49.8918,15.6355,13.0475,16.6260,11.2064
637.0530,530.9145,486.5413,198.4056,170.4156,78.7196,74.1992,80.7380,92.4052,12.9130,33.5546,130.3923,126.1164,47.8129,14.8537,11.4165,16.6260,11.2064
624.2318,487.8674,363.9329,193.9168,126.4116,47.5288,46.1799,58.3648,87.1365,9.1640,29.7560,129.3970,89.6090,42.6159,12.5084,9.7856,13.1258,10.0858
441.5298,491.6938,378.5292,178.6548,160.0146,77.2343,47.2177,63.7149,74.5726,9.1640,29.1229,105.5083,115.0535,46.7735,13.2902,11.4165,15.7509,10.0858
446.3377,457.2561,343.4982,172.3705,156.0143,72.7785,55.0008,61.7694,68.8986,9.9971,30.3891,109.4897,106.2033,47.8129,12.5084,10.6011,15.7509,11.2064
455.1523,467.7787,369.7714,166.0861,161.6148,77.2343,55.5197,62.7422,67.6827,10.4137,31.0222,104.5129,101.7781,49.8918,12.5084,10.6011,15.7509,10.0858
